SYM,DATE,CLOSE,OPEN,MKT,SO,PF,B,RPP,PER,EPS,Y,D,FS,AV,SEC,INDUS,SENT
CCMP,2017-07-03 00:00:55.076744,73.83,74.81,1.86,25.26,24.62,0.99,413.34,23.22,3.18,1.08,0.2,1.36,227.59,9.0,86.0,0.19910666666666668
CAC,2017-07-03 00:00:55.718200,42.91,43.91,665.66,15.51,15.1,0.9,269.5,17.7,2.42,2.14,0.23,5.32,47.62,10.0,13.0,0.1629866666666667
CPHC,2017-07-03 00:00:56.508782,11.005,11.005,48.11,4.37,2.57,0.19,61.99,10.79,1.02,2.18,0.06,0.04,2.37,3.0,23.0,0
CASY,2017-07-03 00:00:57.493984,107.11,106.01,4.2,39.18,38.75,0.71,214.39,23.91,4.48,0.97,0.26,11.91,500.22,7.0,19.0,0.17693999999999996
CASS,2017-07-03 00:00:58.174548,65.64,66.68,734.91,11.2,9.09,1.08,119.59,29.84,2.2,1.4,0.23,4.28,25.47,5.0,2.0,0.0
CATY,2017-07-03 00:00:58.908569,37.95,38.18,3.03,79.83,74.6,1.38,480.94,17.02,2.23,2.21,0.21,2.25,435.95,10.0,13.0,0.04242666666666666
CBFV,2017-07-03 00:00:59.824723,25.95,25.95,106.08,4.09,3.69,0.02,196.39,14.66,1.77,3.39,0.22,0.2,4.27,10.0,13.0,0.3194357142857144
CBOE,2017-07-03 00:01:00.457674,91.11,91.11,10.24,112.04,105.18,0.59,1.52,49.95,1.83,1.09,0.25,4.04,1.17,10.0,45.0,-0.018285714285714287
CDK,2017-07-03 00:01:01.756097,62.06,61.87,9.01,145.19,144.77,1.08,252.53,31.66,1.96,0.9,0.14,1.88,949.67,5.0,2.0,0.3052266666666667
CHFC,2017-07-03 00:01:02.723285,48.41,48.73,3.44,71.12,70.16,1.03,185.05,21.92,2.21,2.23,0.27,2.51,343.4,10.0,13.0,-0.028342857142857142
CHMG,2017-07-03 00:01:03.435869,40.88,41.24,193.49,4.73,3.71,0.39,209.04,18.93,2.16,2.54,0.26,0.91,6.58,10.0,13.0,0.09106666666666667
PLCE,2017-07-03 00:01:04.243942,102.3783,102.45,1.8,17.66,17.26,0.72,116.3,16.79,6.08,1.57,0.4,25.43,593.53,3.0,38.0,0.009939999999999994
CTBI,2017-07-03 00:01:04.960455,43.75,44.1,772.84,17.67,17.04,0.88,196.89,16.39,2.67,2.93,0.32,1.57,43.05,10.0,13.0,0.60746
CWBC,2017-07-03 00:01:05.583399,10.1,10.4,81.84,8.1,5.35,0.18,298.18,15.89,0.64,1.58,0.04,0.08,5.17,10.0,13.0,0.04115833333333333
CPSI,2017-07-03 00:01:06.307938,32.7064,32.65,443.98,13.54,11.46,0.73,130.85,74.55,0.44,2.44,0.2,31.59,104.72,9.0,68.0,0.11295333333333334
CMTL,2017-07-03 00:01:06.960404,18.97,19.2,447.12,23.55,22.68,1.1,273.26,37.94,0.5,2.11,0.1,3.94,261.89,9.0,98.0,-0.009846153846153846
CNMD,2017-07-03 00:01:07.768034,50.94,50.91,1.42,27.87,27.62,0.81,233.0,115.77,0.44,1.57,0.2,3.94,136.67,2.0,93.0,0.043506666666666666
CTWS,2017-07-03 00:01:08.305917,55.51,56.0,641.92,11.56,11.26,0.61,374.35,25.61,2.17,2.14,0.3,2.05,35.91,0.0,91.0,0.07750666666666665
CORE,2017-07-03 00:01:09.634864,33.06,32.65,1.53,46.32,45.13,0.82,1.95,30.25,1.09,1.09,0.09,7.09,271.48,4.0,84.0,0.13278666666666666
COST,2017-07-03 00:01:10.317852,160.09,159.6,70.14,438.68,435.62,0.68,565.53,27.72,5.77,1.25,0.5,1.84,3.14,3.0,0.0,0.04933333333333333
ICBK,2017-07-03 00:01:10.947843,24.0,25.28,159.38,6.64,5.04,0.41,391.39,14.63,1.64,1.0,0.06,1.2,13.52,10.0,13.0,0.22669333333333327
CBRL,2017-07-03 00:01:11.580314,167.25,168.29,4.02,24.04,23.75,0.74,40.12,20.22,8.27,2.87,3.5,17.92,246.24,3.0,66.0,0.17776666666666668
CRWS,2017-07-03 00:01:12.595520,6.95,6.7,69.9,10.03,8.55,0.3,554.44,12.41,0.56,4.6,0.08,0.59,18.45,12.0,55.0,0.24594166666666664
CSGS,2017-07-03 00:01:13.474162,40.58,40.67,1.37,33.79,32.98,0.91,231.64,21.59,1.88,1.95,0.2,1.97,229.33,9.0,68.0,0.14324
CSX,2017-07-03 00:01:14.105679,54.56,54.75,50.34,922.69,876.68,1.19,419.26,29.81,1.83,1.47,0.2,2.58,7.54,11.0,97.0,0.18427333333333334
FAST,2017-07-03 00:01:14.720734,43.53,42.96,12.59,289.26,287.39,1.07,205.01,24.87,1.75,2.94,0.32,8.46,3.23,3.0,74.0,0.18838
FBSS,2017-07-03 00:01:15.459260,19.0001,19.0,71.61,3.77,3.54,-0.27,175.71,18.63,1.02,2.53,0.12,0.05,1.28,10.0,13.0,0.0
LION,2017-07-03 00:01:16.161300,22.86,23.0,602.48,26.36,21.33,1.02,252.35,13.37,1.71,2.1,0.12,4.58,111.32,10.0,13.0,0.09866666666666667
FISI,2017-07-03 00:01:16.931367,29.7978,29.9,433.35,14.54,13.75,0.88,231.08,14.06,2.12,2.82,0.21,0.79,68.12,10.0,13.0,0.34892666666666666
FBNC,2017-07-03 00:01:18.010634,31.26,31.6,770.72,24.66,24.17,0.98,201.67,23.33,1.34,1.02,0.08,2.75,122.01,10.0,13.0,0.36873333333333336
FNLC,2017-07-03 00:01:18.610586,27.06,27.76,292.71,10.82,9.2,0.86,286.6,16.11,1.68,3.55,0.24,1.32,20.84,10.0,13.0,0.1954384615384615
BUSE,2017-07-03 00:01:19.368125,29.32,29.77,1.12,38.21,32.04,0.96,206.96,20.36,1.44,2.46,0.18,2.11,124.77,10.0,13.0,0.24468461538461533
FBIZ,2017-07-03 00:01:20.423438,23.08,23.33,201.21,8.72,8.15,0.52,347.63,14.7,1.57,2.25,0.13,1.03,23.74,10.0,13.0,0.17054666666666665
FCAP,2017-07-03 00:01:21.132941,31.15,30.71,103.98,3.34,3.19,0.21,152.28,15.27,2.04,2.7,0.21,0.06,658.6,10.0,54.0,0.05668571428571429
THFF,2017-07-03 00:01:21.741916,47.3,48.05,578.2,12.22,9.71,0.9,172.39,16.94,2.79,2.11,0.5,1.11,30.41,10.0,13.0,0.05805
FFNW,2017-07-03 00:01:22.395883,16.13,16.33,178.01,11.04,8.23,0.55,378.2,19.2,0.84,1.74,0.07,0.98,28.01,10.0,13.0,0.1990777777777778
FGBI,2017-07-03 00:01:22.967801,27.24,27.1688,207.27,7.61,3.87,0.23,228.0,14.57,1.87,2.35,0.16,0.23,16.28,10.0,54.0,-0.3182
FHB,2017-07-03 00:01:23.735899,30.62,30.72,4.27,139.55,52.88,1.02,329.17,19.26,1.59,2.87,0.22,1.6,425.19,10.0,13.0,0.15308
INBK,2017-07-03 00:01:27.514087,28.05,28.45,182.27,6.5,6.07,0.63,401.42,12.81,2.19,0.86,0.06,1.7,20.73,10.0,13.0,0.03178
FIBK,2017-07-03 00:01:28.152542,37.2417,37.55,2.1,21.92,20.37,1.01,252.79,16.99,2.19,2.58,0.24,4.21,296.12,10.0,13.0,0.27253333333333335
GLBZ,2017-07-03 00:01:30.047423,10.51,10.65,30.13,2.79,2.16,0.13,161.65,26.16,0.4,3.81,0.1,0.07,1.66,10.0,13.0,0
SELF,2017-07-03 00:01:30.945081,4.9,4.96,37.33,7.62,7.17,0.16,266.8,120.69,0.04,5.31,0.07,0.19,14.85,3.0,75.0,0.2157
GMLP,2017-07-03 00:01:31.562502,20.25,20.41,1.42,69.25,48.4,1.09,934.29,7.04,2.85,11.51,0.58,4.3,300.46,3.0,20.0,0.0
MLHR,2017-07-03 00:01:32.278030,30.4,30.45,1.82,59.79,59.09,1.23,300.2,14.01,2.17,2.24,0.17,2.0,349.2,7.0,34.0,0
HIHO,2017-07-03 00:01:33.004374,3.45,3.432,13.12,3.8,2.55,0.25,64.48,24.64,0.14,8.12,0.07,0.1,9.38,8.0,69.0,0
HOMB,2017-07-03 00:01:33.657840,24.9,25.14,3.57,143.43,127.08,1.24,356.17,19.15,1.3,1.45,0.09,6.1,1.03,10.0,13.0,0.07914
HOPE,2017-07-03 00:01:34.648648,18.65,18.98,2.52,135.25,128.78,1.19,387.66,17.27,1.08,2.57,0.12,1.49,623.88,10.0,13.0,0.6232866666666668
HFBC,2017-07-03 00:01:35.277097,14.334,14.5,96.28,6.72,5.85,0.06,169.69,26.54,0.54,1.4,0.05,0.1,3.28,10.0,13.0,0.148
HBNC,2017-07-03 00:01:36.211261,26.35,26.51,584.86,22.2,20.85,0.83,225.0,22.59,1.17,1.97,0.13,1.17,59.83,10.0,13.0,0.22086
HPT,2017-07-03 00:01:36.922813,29.15,29.63,4.79,164.27,161.62,1.0,4.58,25.43,1.15,7.14,0.52,2.28,626.91,3.0,75.0,0.5781133333333331
HSNI,2017-07-03 00:01:38.983783,31.9,31.8,1.67,52.38,31.9,0.95,544.02,15.19,2.1,4.39,0.35,5.96,440.63,3.0,82.0,0.06878666666666668
HBAN,2017-07-03 00:01:40.485351,13.52,13.47,14.7,1.09,1.07,1.28,258.61,20.2,0.67,2.37,0.08,1.6,9.5,10.0,13.0,0.1704133333333333
HURC,2017-07-03 00:01:41.338487,34.6091,34.95,230.18,6.6,6.14,1.2,301.35,22.76,1.53,1.15,0.1,0.62,22.95,8.0,6.0,0
IBKC,2017-07-03 00:01:42.884588,81.5,82.05,4.15,50.97,50.09,1.08,305.0,18.83,4.33,1.77,0.36,2.07,429.61,10.0,13.0,0.10147142857142856
IROQ,2017-07-03 00:01:43.584589,19.5,19.45,78.08,4.0,3.04,0.04,266.8,16.39,1.19,0.82,0.08,0.04,1.92,10.0,54.0,0
ILG,2017-07-03 00:01:45.450466,27.49,27.54,3.43,124.77,105.46,1.0,154.48,10.22,2.69,2.18,0.15,5.4,1.49,10.0,87.0,0.30644285714285713
IXYS,2017-07-03 00:01:46.176518,16.45,16.45,520.0,31.61,24.68,1.31,321.16,25.31,0.65,0.97,0.04,0.51,194.61,9.0,86.0,0.3063066666666666
LKFN,2017-07-03 00:01:47.861248,45.88,46.49,1.16,25.18,24.09,0.95,340.19,23.37,1.96,1.92,0.22,5.12,75.98,10.0,13.0,0.20011333333333328
LRCX,2017-07-03 00:01:49.254774,142.46,143.37,22.81,161.31,160.63,1.34,962.61,18.04,7.84,1.27,0.45,6.05,2.23,9.0,6.0,0.2955066666666667
LSTR,2017-07-03 00:01:50.181985,85.6,86.15,3.59,41.93,41.57,0.81,2.7,25.71,3.33,0.42,0.09,3.87,273.66,11.0,90.0,0.052086666666666656
MKTX,2017-07-03 00:01:51.289272,201.1,204.52,7.56,37.59,36.15,1.0,1.0,54.5,3.69,0.66,0.33,1.29,168.72,10.0,45.0,0.1161
MRVL,2017-07-03 00:01:51.924009,16.5,16.82,8.29,501.67,417.3,1.19,526.62,61.14,0.27,1.45,0.06,1.52,7.27,9.0,86.0,-0.017066666666666667
MAT,2017-07-03 00:01:52.476459,21.44,20.98,7.38,342.56,341.47,0.86,166.34,27.25,0.79,2.79,0.15,6.0,6.95,4.0,46.0,0.39933333333333326
MATW,2017-07-03 00:01:53.309034,61.25,61.25,1.97,32.2,30.96,0.98,144.56,27.71,2.21,1.11,0.17,1.05,90.36,8.0,69.0,-0.128
MXIM,2017-07-03 00:01:53.947553,44.9,44.89,12.69,282.55,279.95,1.08,313.29,25.8,1.74,2.94,0.33,1.4,2.19,9.0,86.0,0.15932666666666667
MGRC,2017-07-03 00:01:54.622517,34.63,34.9,830.5,23.98,22.21,0.89,397.03,20.99,1.65,3.0,0.26,0.96,78.5,9.0,24.0,0.17062727272727274
MFIN,2017-07-03 00:01:55.847888,2.39,2.36,58.02,24.28,20.41,0.81,175.14,3.23,0.74,8.37,0.05,30.68,170.94,10.0,49.0,0.079175
MELI,2017-07-03 00:01:56.594922,250.92,254.1,11.08,44.16,39.94,1.53,231.72,71.68,3.5,0.24,0.15,3.73,590.45,5.0,2.0,-0.04443333333333334
MBWM,2017-07-03 00:01:57.361483,31.48,31.68,518.35,16.47,15.96,0.9,202.46,16.66,1.89,2.29,0.18,0.98,38.31,10.0,13.0,0.05555555555555555
MSBI,2017-07-03 00:01:58.088502,33.5069,33.7,637.18,15.79,11.5,0.73,286.4,14.9,2.25,2.39,0.2,1.88,76.53,10.0,13.0,-0.14686153846153846
MOFG,2017-07-03 00:01:58.717948,33.89,34.05,413.83,12.21,10.4,0.8,229.77,18.03,1.88,1.95,0.17,0.63,42.66,10.0,13.0,0.25512307692307695
MNDO,2017-07-03 00:01:59.525024,2.509,2.51,48.4,19.29,15.97,0.46,68.48,11.95,0.21,12.75,0.32,0.15,25.85,9.0,68.0,0.0
MKSI,2017-07-03 00:02:00.124471,67.6734,67.6,3.64,54.11,53.3,1.15,331.87,24.21,2.78,1.04,0.18,4.1,512.6,8.0,6.0,0.16243333333333332
MINI,2017-07-03 00:02:02.837903,29.85,29.8,1.32,44.2,43.5,1.34,254.06,28.43,1.05,3.04,0.23,7.16,222.0,8.0,69.0,0.21880833333333335
MDLZ,2017-07-03 00:02:03.963184,43.2,43.59,65.53,1.52,1.51,0.99,287.58,38.97,1.11,1.76,0.19,1.04,7.29,4.0,21.0,0.31949333333333335
MPWR,2017-07-03 00:02:05.013968,96.4,97.22,3.98,41.27,37.97,1.3,285.47,72.48,1.33,0.83,0.2,3.05,278.24,9.0,86.0,0.008386666666666664
NTAP,2017-07-03 00:02:05.623402,40.05,40.18,10.88,270.95,270.55,1.05,545.84,22.13,1.81,2.0,0.2,3.75,3.04,9.0,96.0,0.2791066666666666
NYMT,2017-07-03 00:02:06.306413,6.22,6.24,695.66,111.84,110.22,0.67,18.32,12.2,0.51,12.86,0.2,9.28,796.21,3.0,75.0,0.5764466666666667
NEWS,2017-07-03 00:02:06.905858,10.5,10.47,441.77,42.07,26.29,1.49,4.08,18.75,0.56,0.76,0.02,0.94,86.72,10.0,49.0,0.13144
NXST,2017-07-03 00:02:07.714914,59.8,61.1,2.82,47.22,44.01,1.43,306.57,25.67,2.33,2.01,0.3,12.25,784.65,3.0,67.0,0.09698666666666668
NICE,2017-07-03 00:02:08.928778,78.72,78.82,4.83,60.32,60.27,0.84,225.52,47.92,1.64,0.81,0.16,1.21,163.86,9.0,37.0,0.2846466666666666
NICK,2017-07-03 00:02:09.700328,9.2,9.04,71.85,7.81,7.14,0.48,295.06,13.33,0.69,5.22,0.12,1.54,15.76,10.0,48.0,-0.5088733333333334
OLBK,2017-07-03 00:02:11.349554,28.4065,28.69,308.57,10.95,8.42,0.29,303.74,20.87,1.35,1.14,0.08,0.91,24.06,10.0,13.0,0.12766428571428573
ONB,2017-07-03 00:02:11.993015,17.25,17.45,2.34,135.37,132.58,1.15,247.03,15.87,1.09,3.01,0.13,4.82,946.88,10.0,13.0,0.03489090909090909
OPOF,2017-07-03 00:02:12.955199,32.88,32.4,163.68,4.98,3.92,-0.02,150.68,43.84,0.75,1.34,0.11,0.15,14.53,10.0,13.0,0
OSBC,2017-07-03 00:02:13.618670,11.55,11.2,341.65,29.58,27.26,0.71,224.97,20.26,0.57,0.35,0.01,1.49,115.83,10.0,13.0,0.05249333333333332
ZEUS,2017-07-03 00:02:14.209093,19.48,19.77,213.58,10.96,9.22,1.54,681.72,29.97,0.65,0.41,0.02,2.98,260.63,12.0,69.0,-0.0247
POPE,2017-07-03 00:02:15.200799,74.05,74.0,323.45,4.37,2.99,0.07,1.33,31.38,2.36,3.78,0.7,0.03,1.1,4.0,43.0,0.2090533333333334
BPOP,2017-07-03 00:02:16.119969,41.71,42.03,4.25,101.99,100.24,1.16,273.84,19.58,2.13,2.4,0.25,1.13,493.29,10.0,13.0,0.39969333333333334
PCH,2017-07-03 00:02:17.533476,45.7,45.6,1.86,40.61,39.91,0.92,651.89,68.21,0.67,3.28,0.38,3.25,335.02,3.0,75.0,0.19617333333333334
POWL,2017-07-03 00:02:18.520211,31.99,32.18,365.61,11.43,8.64,1.05,205.78,39.49,0.81,3.25,0.26,0.75,29.58,7.0,73.0,0.15786666666666666
POWI,2017-07-03 00:02:19.598481,72.9,74.35,2.16,29.69,28.54,1.26,649.77,40.73,1.79,0.77,0.14,3.02,175.82,9.0,86.0,0.06061333333333333
PLPC,2017-07-03 00:02:20.434074,46.42,46.37,237.58,5.12,2.38,0.84,132.81,16.94,2.74,1.72,0.2,1.54,7.65,12.0,91.0,0.3276
PFBI,2017-07-03 00:02:21.211224,20.61,20.92,219.66,10.66,8.37,0.39,189.62,17.1,1.21,2.91,0.15,0.78,19.63,10.0,13.0,0.0
PSMT,2017-07-03 00:02:21.900258,87.6,86.3,2.66,30.4,20.34,0.93,376.28,29.2,3.0,0.8,0.35,6.4,118.3,3.0,0.0,0.007606666666666665
PRIM,2017-07-03 00:02:22.595819,24.94,24.8,1.28,51.44,39.71,1.32,268.48,40.23,0.62,0.88,0.06,2.05,184.43,12.0,91.0,0.24752666666666664
PROV,2017-07-03 00:02:23.932774,19.25,19.51,151.92,7.89,6.06,0.5,147.11,22.38,0.86,2.7,0.13,0.65,17.37,10.0,54.0,0.02114285714285714
